tok_count,time,question,answer,note
76,2.7583121310162824,def factorial(int n):,"def factorial(int n):
    cdef int i, fact = 1
    for i in range(1, n+1):
        fact = fact * i
    return fact

def main():
    print(factorial(10))

if __name__ == '__main__':
    main()
",gptq
30,0.5274314720008988,"Write a Python program that prints ""Hello, World!"" to the console.","Write a Python program that prints ""Hello, World!"" to the console.

'''

print(""Hello, World!"")
",gptq
117,3.7522314009838738,Write a function that takes two parameters and returns their sum.,"Write a function that takes two parameters and returns their sum.

Examples
add(1, 2) ➞ 3

add(5, 10) ➞ 15

add(9, 12) ➞ 21
Notes
Don't forget to return the result.
If you get stuck on a challenge, get help from others or do it together with them.
When you've finished, check your solution by pressing the ""Check"" button.",gptq
110,3.4695784259820357,Write a function to calculate the factorial of a given number.,"Write a function to calculate the factorial of a given number.

#include <stdio.h>
int main()
{
    int n, fact = 1;
    printf(""Enter a number: "");
    scanf(""%d"", &n);
    for (int r = 1; r <= n; r++)
        fact = fact * r;
    printf(""Factorial of %d = %d"", n, fact);
    return 0;
}
",gptq
176,5.7686869479948655,Write a function to determine if a given string is a palindrome.,"Write a function to determine if a given string is a palindrome.

A palindrome is a word or phrase that is the same forwards and backwards.

A few examples:

""tacocat"" is a palindrome
""taco cat"" is not a palindrome
""racecar"" is a palindrome
""race car"" is not a palindrome


def is_palindrome(string):
    # Check if the string is a palindrome
    return string == string[::-1]


print(is_palindrome(""tacocat""))
print(is_palindrome(""taco cat""))
print(is_palindrome(""racecar""))
print(is_palindrome(""race car""))
",gptq
578,18.32154414401157,"Write a program that prints the numbers from 1 to 100. But for multiples of three, print ""Fizz"" instead of the number, and for the multiples of five, print ""Buzz."" For numbers that are multiples of both three and five, print ""FizzBuzz.""","Write a program that prints the numbers from 1 to 100. But for multiples of three, print ""Fizz"" instead of the number, and for the multiples of five, print ""Buzz."" For numbers that are multiples of both three and five, print ""FizzBuzz.""

# 1
# 2
# Fizz
# 4
# Buzz
# Fizz
# 7
# 8
# Fizz
# Buzz
# 11
# Fizz
# 13
# 14
# FizzBuzz
# 16
# 17
# Fizz
# 19
# Buzz
# Fizz
# 22
# 23
# Fizz
# Buzz
# 26
# Fizz
# 28
# 29
# FizzBuzz
# 31
# 32
# Fizz
# 34
# Buzz
# Fizz
# 37
# 38
# Fizz
# Buzz
# 41
# Fizz
# 43
# 44
# FizzBuzz
# 46
# 47
# Fizz
# 49
# Buzz
# Fizz
# 52
# 53
# Fizz
# Buzz
# 56
# Fizz
# 58
# 59
# FizzBuzz
# 61
# 62
# Fizz
# 64
# Buzz
# Fizz
# 67
# 68
# Fizz
# Buzz
# 71
# Fizz
# 73
# 74
# FizzBuzz
# 76
# 77
# Fizz
# 79
# Buzz
# Fizz
# 82
# 83
# Fizz
# Buzz
# Fizz
# 87
# 88
# Fizz
# Buzz
# Fizz
# 91
# 92
# Fizz
# 94
# Buzz
# Fizz
# 97
# 98
# Fizz
# Buzz
# Fizz
# 101
# 102
# Fizz
# 104
# Buzz
# Fizz
# 107
# 108
# Fizz",gptq
349,11.981018274993403,Implement a function to reverse a singly linked list.,"Implement a function to reverse a singly linked list.


class Node:
    def __init__(self, data):
        self.data = data
        self.next = None


class LinkedList:
    def __init__(self):
        self.head = None

    def insert(self, data):
        newNode = Node(data)
        if(self.head is None):
            self.head = newNode
            return
        last = self.head
        while last.next:
            last = last.next
        last.next = newNode

    def printList(self):
        temp = self.head
        while temp:
            print(temp.data)
            temp = temp.next

    def reverseList(self):
        prev = None
        current = self.head
        while current is not None:
            next = current.next
            current.next = prev
            prev = current
            current = next
        self.head = prev


if __name__ == ""__main__"":
    linkedList = LinkedList()
    linkedList.insert(1)
    linkedList.insert(2)
    linkedList.insert(3)
    linkedList.insert(4)
    linkedList.insert(5)
    linkedList.insert(6)
    linkedList.insert(7)
    linkedList.insert(8)
    linkedList.printList()
    linkedList.reverseList()
    linkedList.printList()
",gptq
531,18.30939167298493,"Given an unsorted array of integers, find the length of the longest increasing subsequence.","Given an unsorted array of integers, find the length of the longest increasing subsequence.

For example,
Given [10, 9, 2, 5, 3, 7, 101, 18],
The longest increasing subsequence is [2, 3, 7, 101], therefore the length is 4. Note that there may be more than one LIS combination, it is only necessary for you to return the length.

Your algorithm should run in O(n2) complexity.

Follow up: Could you improve it to O(n log n) time complexity?

Credits:
Special thanks to @pbrother for adding this problem and creating all test cases.

# https://leetcode.com/discuss/26797/o-n-2-solution-easy-to-understand
# https://leetcode.com/discuss/27395/o-n-log-n-solution-in-java
# https://leetcode.com/discuss/37881/o-n-log-n-time-with-o-1-space-python-solution-using-binary-search
# https://leetcode.com/discuss/37918/o-n-log-n-time-c-solution-using-binary-search

# https://leetcode.com/discuss/37918/o-n-log-n-time-c-solution-using-binary-search
# https://leetcode.com/discuss/37881/o-n-log-n-time-with-o-1-space-python-solution-using-binary-search

# https://leetcode.com/discuss/37918/o-n-log-n-time-c-solution-using-binary-search
# https://leetcode.com/discuss/37881/o-n-log-n-time-with-o-1-space-python-solution-using-binary-search

# https://leetcode.com/discuss/37918/o-n-log-n-time-c-solution-using-binary-",gptq
529,18.310924240999157,"Given a sequence of matrices, find the most efficient way to multiply these matrices.","Given a sequence of matrices, find the most efficient way to multiply these matrices.

For example, given the following sequence of matrices:

A = 10 x 30
B = 30 x 5
C = 5 x 60

D = 60 x 20

E = 20 x 30

F = 30 x 10

You should return the order of the elements (A, B, C, D, E, F) and the minimum number of operations needed to multiply the sequence.

In this case, we get the following:

(A * B) * (C * D) * (E * F)

The above can be rewritten as:

(10 * 30 * 5) * (5 * 60 * 20) * (20 * 30 * 10)

Which is equal to:

10 * 30 * 5 * 5 * 60 * 20 * 20 * 30 * 10

Which is equal to:

10 * 30 * 5 * 5 * 60 * 20 * 20 * 30 * 10

Which is equal to:

20000000

So the order of the sequence would be: (A, B, C, D, E, F)

And the minimum number of operations would be: 20000000

Note: You can assume the number of operations associated with multiplying a matrix with another matrix is equal to:

the number of rows in the first matrix multiplied by the number of columns in the second matrix multiplied by the number of columns in the first matrix

So in the above example, the number of operations required to multiply matrices A and B is:

10 * 30 * 5

Because:

10 is the number of rows in A
30 is the number of columns in A
5 is the number of columns in B























































",gptq
298,10.021903471002588,"Given a binary search tree, write a function to find the Kth smallest element.","Given a binary search tree, write a function to find the Kth smallest element.

Example :

Input : 
  2
 / \
1   3

and K = 2

Return : 2

As 2 is the second smallest element in the tree.
 NOTE : You may assume 1 <= K <= Total number of Nodes.

https://www.interviewbit.com/problems/kth-smallest-element-in-bst/
""""""

# Definition for a  binary tree node
# class TreeNode:
#     def __init__(self, x):
#         self.val = x
#         self.left = None
#         self.right = None


class Solution:
    # @param A : root node of tree
    # @param K : integer
    # @return an integer
    def kthsmallest(self, A, K):
        stack = []
        node = A
        while node:
            stack.append(node)
            node = node.left

        for _ in range(K - 1):
            node = stack.pop()
            node = node.right
            while node:
                stack.append(node)
                node = node.left

        return stack[-1].val
",gptq
